100000 10
68738 37820 5
37820 55519 2
55519 77758 8
77758 46482 4
46482 88425 3
88425 97912 10
97912 55476 9
55476 55207 1
55207 32059 1
32059 54145 6
54145 49530 7
49530 70919 5
70919 47725 2
47725 2212 8
2212 44552 4
44552 41417 3
41417 41082 10
41082 55379 9
55379 54864 1
54864 57467 6
57467 30308 7
30308 11765 5
11765 22915 2
22915 69152 8
69152 25111 4
25111 38968 3
38968 98696 10
98696 15910 9
15910 88769 1
88769 97877 6
97877 48925 7
48925 19948 5
19948 30737 2
30737 1399 8
1399 69967 4
69967 8251 3
8251 92550 10
92550 30545 9
30545 31372 1
31372 57947 6
57947 70569 7
70569 9851 5
9851 73690 2
73690 94619 8
94619 68799 4
68799 91067 3
91067 70644 10
70644 12838 9
12838 36615 6
36615 9386 7
9386 73998 5
73998 78853 2
78853 93574 8
93574 97759 4
97759 49757 3
49757 46229 10
46229 43007 9
43007 48264 1
48264 40492 6
40492 40358 7
40358 98741 5
98741 17037 2
17037 12467 8
12467 46776 4
46776 69082 3
69082 28067 10
28067 22441 9
22441 99858 1
99858 1280 6
1280 79544 7
79544 83499 5
83499 75113 2
75113 79934 8
79934 81354 4
81354 77264 3
77264 9368 10
9368 16746 9
16746 10987 1
10987 83587 6
83587 1284 7
1284 1426 5
1426 7008 2
7008 938 8
938 60408 4
60408 16190 3
16190 99062 10
99062 17747 9
17747 6061 1
6061 15690 6
15690 64948 7
64948 96968 5
96968 63748 2
63748 68944 8
68944 64932 4
64932 95880 3
95880 89724 10
89724 14580 9
14580 23461 1
23461 31963 6
31963 84191 7
84191 34181 5
34181 36234 2
36234 80066 8
80066 9112 4
9112 55966 3
55966 66388 10
66388 51572 9
51572 7520 1
7520 44205 6
44205 92213 7
92213 83932 5
83932 34774 2
34774 18572 8
18572 62268 4
62268 75373 3
75373 44136 10
44136 34480 9
34480 2274 1
2274 89560 6
89560 54370 7
54370 61368 5
61368 8414 2
8414 10122 8
10122 86056 4
86056 59192 3
59192 54899 10
54899 36915 9
36915 17896 1
17896 43123 6
43123 26359 7
26359 88800 5
88800 28194 2
28194 45355 8
45355 45216 4
45216 68646 3
68646 44682 10
44682 36727 9
36727 63374 1
63374 2879 6
2879 32024 7
32024 45368 5
45368 96916 2
96916 12868 8
12868 14627 8
14627 90139 4
90139 80324 3
80324 64769 10
64769 57349 9
57349 50602 1
50602 13115 6
13115 47601 7
47601 33146 5
33146 13469 2
13469 96714 8
96714 74792 4
74792 46414 3
46414 82615 10
82615 51503 9
51503 7116 1
7116 77167 6
77167 39847 7
39847 63269 5
63269 32603 2
32603 73760 8
73760 44521 4
44521 77703 3
77703 24808 10
24808 51812 9
51812 37579 1
37579 68750 6
68750 45815 7
45815 12175 5
12175 14031 2
14031 93158 8
93158 23558 4
23558 56696 3
56696 36965 10
36965 4716 9
4716 45161 1
45161 52936 6
52936 23769 7
23769 63558 5
63558 16154 2
16154 42449 8
42449 98994 4
98994 11682 3
11682 93352 10
93352 34721 9
34721 68178 1
68178 96136 6
96136 84638 7
84638 85543 5
85543 61836 2
61836 78363 8
78363 63803 4
63803 24242 3
24242 51698 10
51698 56149 9
56149 35682 1
35682 4026 6
4026 34112 7
34112 74398 5
74398 64348 2
64348 36391 8
36391 77379 4
77379 98753 3
98753 59387 10
59387 36745 9
36745 40292 1
40292 96531 6
96531 27075 7
27075 44556 5
44556 8844 2
8844 86835 8
86835 13826 4
13826 89877 3
89877 59462 10
59462 32839 9
32839 25701 1
25701 88782 6
88782 48581 7
48581 70545 5
70545 50604 2
50604 80722 8
80722 62104 4
62104 24840 3
24840 49311 10
49311 14804 9
14804 26197 1
26197 77391 6
77391 16524 7
16524 86313 5
86313 66880 2
66880 21647 8
21647 37700 4
37700 32640 3
32640 59367 10
59367 52095 9
52095 95052 1
95052 4769 6
4769 65784 7
65784 40969 5
40969 26152 2
26152 78670 8
78670 45695 4
45695 97460 3
97460 16130 10
16130 25577 9
25577 4296 1
4296 78516 6
78516 19291 7
19291 42095 5
42095 42660 2
42660 5951 8
5951 18319 4
18319 58123 3
58123 70573 10
70573 78124 9
78124 50791 3
50791 42586 10
42586 7831 9
7831 23318 1
23318 26823 6
26823 42150 7
42150 95804 5
95804 60723 2
60723 37082 8
37082 23268 4
23268 25836 3
25836 82832 10
82832 28234 9
28234 23218 1
23218 27579 6
27579 21342 7
21342 23310 5
23310 71707 2
71707 82898 8
82898 29464 4
29464 55602 3
55602 80526 10
80526 88752 9
88752 69791 1
69791 27475 6
27475 63589 7
63589 66553 5
66553 85017 2
85017 69990 8
69990 47745 4
47745 2835 3
2835 13738 10
13738 37860 9
37860 96723 1
96723 87085 6
87085 76423 7
76423 39493 5
39493 28668 2
28668 57078 8
57078 16084 4
16084 48360 3
48360 29506 10
29506 2336 9
2336 40219 1
40219 3836 6
3836 69163 7
69163 7871 5
7871 9133 2
9133 4527 8
4527 18087 4
18087 37870 3
37870 66844 10
66844 319 9
319 7364 1
7364 63917 6
63917 47885 7
47885 91129 5
91129 1374 2
1374 1205 8
1205 2458 4
2458 38032 3
38032 16831 10
16831 92239 9
92239 24819 1
24819 37759 6
37759 89216 7
89216 67000 5
67000 52845 2
52845 31820 5
31820 58851 2
58851 25465 8
25465 36654 4
36654 2024 3
2024 48094 10
48094 91908 9
91908 9583 1
9583 60351 6
60351 73708 7
73708 71585 5
71585 7903 2
7903 70910 8
70910 40001 4
40001 55079 3
55079 64859 10
64859 32685 9
32685 8915 1
8915 84469 6
84469 65403 7
65403 17769 5
17769 28752 2
28752 81395 8
81395 51095 4
51095 69325 3
69325 97554 10
97554 31877 9
31877 66570 7
66570 41532 5
41532 42620 2
42620 720 8
720 23515 4
23515 12882 3
12882 23399 10
23399 42664 9
42664 61032 1
61032 21088 6
21088 97448 7
97448 50953 5
50953 85599 2
85599 19757 8
19757 56037 4
56037 25760 3
25760 72809 10
72809 82841 9
82841 47711 1
47711 97459 6
97459 85405 7
85405 18998 5
18998 25067 2
25067 19193 8
19193 49901 4
49901 16552 3
16552 68203 10
68203 81615 9
81615 3703 1
3703 63267 6
63267 28393 7
28393 65533 5
65533 60905 2
60905 75489 8
75489 16668 4
16668 57806 3
57806 99582 10
99582 92706 9
92706 49290 1
49290 93711 6
93711 91148 7
91148 71091 5
71091 52687 2
52687 49661 8
49661 26462 4
26462 48758 3
48758 55556 10
55556 47137 9
47137 92354 1
92354 47290 6
47290 84348 3
84348 7135 10
7135 834 9
834 11330 1
11330 49566 6
49566 92584 7
92584 53660 5
53660 68231 2
68231 5666 8
5666 76982 4
76982 38598 3
38598 86525 10
86525 86546 9
86546 6907 1
6907 57193 6
57193 15924 7
15924 89842 5
89842 2638 2
2638 43950 8
43950 53335 4
53335 90835 3
90835 70867 10
70867 25683 9
25683 5292 1
5292 45643 6
45643 32469 7
32469 30915 5
30915 85557 2
85557 42093 8
42093 23110 4
23110 40190 3
40190 78969 10
78969 28389 9
28389 25873 1
25873 75869 6
75869 63865 7
63865 55841 5
55841 51577 2
51577 99715 8
99715 77636 4
77636 87809 3
87809 97422 10
97422 85097 9
85097 95744 1
95744 53164 6
53164 82148 7
82148 4572 5
4572 3615 2
3615 30785 8
30785 41155 4
41155 8637 3
8637 6784 10
6784 88217 9
88217 23302 1
23302 47493 6
47493 94849 7
94849 42972 5
42972 64559 2
64559 56956 8
56956 73831 4
73831 82121 3
82121 23150 10
23150 47939 9
47939 25678 1
25678 20991 6
20991 75747 7
75747 55153 5
55153 23207 2
23207 4130 8
4130 80202 4
80202 42428 3
42428 78043 10
78043 52934 9
52934 35992 1
35992 84656 6
84656 16643 7
16643 76151 5
76151 72512 2
72512 63326 8
63326 46655 4
46655 55900 3
55900 55319 10
55319 90422 9
90422 1445 1
1445 79297 6
79297 98847 7
98847 95206 5
95206 58364 2
58364 77393 8
77393 94362 4
94362 12316 3
12316 11346 10
11346 44168 9
44168 91149 1
91149 81440 6
81440 22434 7
22434 46462 5
46462 23583 2
23583 88509 8
88509 79427 4
79427 80042 3
80042 14920 10
14920 1591 9
1591 75976 1
75976 87898 6
87898 81870 7
81870 41181 5
41181 14495 2
14495 65375 8
65375 26377 4
26377 86100 3
86100 83316 10
83316 2308 9
2308 11542 1
11542 46332 6
46332 52807 7
52807 19934 5
19934 83554 2
83554 64177 8
64177 71770 4
71770 96182 3
96182 20356 10
20356 565 9
565 59578 1
59578 74989 6
74989 90046 7
90046 89239 5
89239 49155 2
49155 19586 8
19586 40959 4
40959 58001 3
58001 96053 10
