100000 2
11081 90273 2
11081 56653 1
11081 73314 2
11081 33647 2
11081 89414 1
11081 78587 1
11081 14385 2
11081 64000 1
11081 85127 2
11081 74332 2
11081 23565 2
11081 34962 1
11081 35136 2
11081 38620 2
11081 44498 1
11081 9244 2
11081 3370 2
11081 96881 1
11081 24646 1
11081 16343 2
11081 81544 1
11081 59401 2
11081 80778 2
11081 54075 2
11081 52107 1
11081 55094 1
11081 15310 2
11081 33005 1
11081 9553 1
11081 92522 2
11081 75254 1
11081 80097 2
11081 43634 2
11081 5530 2
11081 18544 1
11081 53286 1
11081 19521 1
11081 17818 2
11081 45855 1
11081 91231 2
11081 35095 1
11081 13720 1
11081 36729 1
11081 64219 2
11081 83640 1
11081 88058 2
11081 70029 1
11081 73654 2
11081 76485 2
11081 79151 1
11081 46042 2
11081 8355 1
11081 25357 2
11081 92149 2
11081 95100 2
11081 85818 2
11081 57255 1
11081 87107 1
11081 66668 2
11081 59898 1
11081 15244 2
11081 90216 2
11081 37452 2
11081 68310 1
11081 63589 1
11081 14525 1
11081 21976 2
11081 20382 1
11081 12516 1
11081 87182 1
11081 21292 2
11081 29090 1
11081 71508 2
11081 58710 1
11081 66729 2
11081 87532 2
11081 48542 2
11081 78457 2
11081 93647 1
11081 90014 1
11081 22200 1
11081 90643 1
11081 20534 1
11081 44747 2
11081 38695 2
11081 15112 2
11081 22991 1
11081 5630 1
11081 31951 2
11081 96453 2
11081 5922 2
11081 40932 1
11081 83087 2
11081 71871 2
11081 86129 2
11081 63834 2
11081 88666 2
11081 54463 1
11081 64285 2
11081 13351 2
11081 14911 1
11081 91819 2
11081 72217 2
11081 38529 2
11081 68677 2
11081 63667 2
11081 79335 1
11081 98032 1
11081 95597 2
11081 32089 2
11081 59793 2
11081 44910 2
11081 70096 1
11081 85388 2
11081 73048 1
11081 42925 2
11081 19467 2
11081 73957 1
11081 31623 2
11081 76002 2
11081 72209 1
11081 23759 1
11081 61890 1
11081 64695 1
11081 26179 2
11081 63499 1
11081 64767 2
11081 11225 2
11081 35170 2
11081 46799 2
11081 54066 2
11081 11611 1
11081 97325 1
11081 85434 1
11081 25386 1
11081 4222 2
11081 75396 2
11081 2442 2
11081 7278 2
11081 51089 1
11081 83180 2
11081 49138 1
11081 41408 2
11081 65935 1
11081 6041 2
11081 70740 2
11081 41943 1
11081 34909 2
11081 23002 2
11081 76350 2
11081 72042 2
11081 70534 1
11081 2542 1
11081 65696 1
11081 11698 1
11081 3332 2
11081 39778 2
11081 60798 2
11081 88812 2
11081 52557 2
11081 7244 2
11081 82807 2
11081 67250 1
11081 99288 2
11081 52140 1
11081 28429 1
11081 19639 1
11081 19469 1
11081 24218 1
11081 90378 1
11081 39823 1
11081 12117 1
11081 98431 2
11081 1252 2
11081 364 1
11081 80236 2
11081 34371 1
11081 41927 1
11081 96947 2
11081 43766 2
11081 30879 2
11081 26268 2
11081 65075 2
11081 60114 2
11081 86580 2
11081 41255 1
11081 94977 2
11081 68666 1
11081 19053 2
11081 13922 1
11081 21080 2
11081 82990 1
11081 55739 1
11081 77882 2
11081 78088 1
11081 44861 2
11081 23908 2
11081 96934 1
11081 35097 1
11081 44575 1
11081 59558 1
11081 82123 1
11081 93819 2
11081 24037 1
11081 31586 2
11081 24292 1
11081 96109 2
11081 27089 2
11081 56174 2
11081 86486 1
11081 17697 2
11081 33033 2
11081 35141 2
11081 56348 1
