100000 10
39438 53660 5
39438 60245 5
39438 49576 5
39438 63645 5
39438 76958 5
39438 13627 5
39438 76479 5
39438 54874 5
39438 54772 5
39438 40662 5
39438 61994 5
39438 5002 5
39438 40752 5
39438 99485 5
39438 45066 5
53660 24920 2
53660 98134 2
53660 86622 2
53660 6015 2
53660 10892 2
53660 39769 2
53660 39395 2
53660 26528 2
53660 80432 2
53660 94124 2
53660 49983 2
53660 54866 2
60245 20924 2
60245 69851 2
60245 34655 2
60245 70666 2
60245 17836 2
60245 40751 2
60245 74859 2
60245 55853 2
60245 41653 2
20924 38669 3
20924 63290 3
20924 28020 3
20924 81646 3
20924 94950 3
20924 39096 3
20924 9498 3
20924 82650 3
20924 59266 3
38669 87100 1
38669 71097 1
38669 69812 1
38669 69015 1
38669 52953 1
38669 61402 1
38669 14304 1
38669 93806 1
38669 30632 1
38669 12409 1
24920 82129 3
24920 42814 3
24920 430 3
24920 34892 3
24920 3545 3
24920 4657 3
24920 62994 3
24920 87804 3
24920 17072 3
24920 71555 3
24920 37437 3
24920 96673 3
24920 26006 3
24920 1978 3
24920 70151 3
82129 26576 1
82129 62705 1
82129 92030 1
82129 19599 1
82129 86998 1
82129 96226 1
82129 9171 1
82129 52725 1
82129 13086 1
49576 29788 2
49576 6484 2
49576 45522 2
49576 56027 2
49576 89867 2
49576 53932 2
49576 7340 2
49576 12799 2
49576 46488 2
49576 14203 2
49576 54252 2
49576 15089 2
26576 77737 7
26576 87192 7
26576 45759 7
26576 45110 7
26576 12223 7
26576 50177 7
26576 68220 7
26576 54488 7
87100 70204 7
87100 71187 7
87100 93098 7
87100 88231 7
87100 97680 7
87100 13139 7
87100 4891 7
87100 81006 7
87100 50451 7
87100 14412 7
87100 94621 7
63645 60271 2
63645 29945 2
63645 96252 2
63645 99699 2
63645 72477 2
63645 64272 2
63645 29258 2
98134 9284 3
98134 9270 3
98134 5637 3
98134 69416 3
98134 5646 3
98134 24766 3
98134 90319 3
98134 1756 3
98134 28111 3
42814 76515 1
42814 48463 1
42814 3299 1
42814 84220 1
42814 57581 1
42814 80104 1
42814 91740 1
42814 69108 1
42814 53231 1
42814 24954 1
42814 85916 1
42814 5368 1
77737 79692 6
77737 68151 6
77737 54977 6
77737 52170 6
77737 99620 6
77737 93041 6
77737 44944 6
77737 3477 6
77737 30425 6
77737 20139 6
77737 81411 6
29788 72867 3
29788 39553 3
29788 71814 3
29788 59411 3
29788 96294 3
29788 62494 3
29788 59940 3
29788 24 3
29788 37152 3
70204 63469 6
70204 69312 6
70204 56860 6
70204 14850 6
70204 50486 6
70204 64683 6
70204 53387 6
70204 73344 6
70204 98592 6
70204 94283 6
70204 58549 6
70204 30620 6
70204 59663 6
70204 888 6
63290 62818 1
63290 45035 1
63290 50042 1
63290 64814 1
63290 82489 1
63290 14267 1
63290 47854 1
63290 48920 1
63290 647 1
63290 37945 1
63290 69481 1
63290 79113 1
63290 40001 1
63290 78476 1
69851 13390 3
69851 22160 3
69851 4288 3
69851 10383 3
71187 20083 6
71187 45374 6
71187 98474 6
71187 50203 6
71187 26971 6
71187 13785 6
71187 19924 6
71187 87910 6
71187 76455 6
71187 40593 6
71187 91290 6
71187 19858 6
71187 98146 6
71187 3573 6
76515 55986 7
76515 56278 7
76515 96845 7
76515 74400 7
76515 41823 7
86622 52926 3
86622 53029 3
86622 61267 3
86622 90617 3
86622 93188 3
86622 40401 3
86622 5559 3
86622 97661 3
86622 53233 2
86622 33394 3
86622 65639 3
86622 3867 3
63469 81456 8
63469 59908 8
63469 59260 8
63469 9449 8
63469 88521 8
63469 17241 8
63469 90632 8
63469 99063 8
63469 56133 8
63469 7792 8
9284 57801 1
9284 5035 1
9284 67968 1
9284 69228 1
9284 11596 1
9284 58275 1
9284 7154 1
9284 72498 1
48463 91674 7
48463 11399 7
48463 94668 7
52926 70114 1
52926 97335 1
52926 27309 1
52926 39202 1
52926 51582 1
52926 84777 1
52926 11691 1
76958 89667 2
76958 77136 2
76958 97082 2
76958 26335 2
76958 27884 2
76958 61380 2
71097 99727 7
71097 18488 7
71097 91291 7
71097 98909 7
71097 70350 7
71097 70715 7
71097 10144 7
71097 1637 7
71097 86860 7
71097 28688 7
71097 14807 7
71097 11389 7
71097 13291 7
69312 98454 8
69312 58792 8
69312 35471 8
69312 37074 8
69312 82491 8
13627 62028 2
13627 55304 2
13627 15884 2
13627 84048 2
13627 67615 2
13627 14637 2
13627 80271 2
13627 55408 2
89667 66427 3
89667 16339 3
89667 93470 3
89667 86334 3
89667 50408 3
89667 54781 3
87192 91376 6
87192 47576 6
87192 31989 6
87192 613 6
87192 19530 6
87192 50340 6
87192 83342 6
87192 28132 6
87192 71619 6
87192 44613 6
87192 91748 6
6484 76677 3
6484 17933 3
6484 29274 3
6484 83319 3
6484 4800 3
6484 60274 3
6484 1047 3
6484 32934 3
6484 38055 3
6484 44268 3
55986 80738 6
55986 19987 6
55986 24969 6
55986 86457 6
55986 19112 6
55986 13375 6
55986 62480 6
55986 30349 6
55986 27356 10
81456 76364 4
81456 22498 4
81456 80332 4
81456 7967 4
81456 77047 4
430 33773 1
430 54457 1
430 11196 1
430 10549 1
9270 2219 1
9270 71851 1
9270 27699 1
9270 46476 1
9270 99801 1
9270 12033 1
9270 56338 1
