100000 3
77222 89616 3
77222 36711 2
77222 27645 1
77222 37102 3
77222 63325 1
77222 60093 1
77222 13755 2
77222 40059 2
77222 36249 2
77222 58610 2
77222 81344 3
77222 595 3
77222 81892 2
77222 3080 3
77222 23227 1
77222 74837 2
77222 93110 2
77222 32560 2
77222 52323 3
77222 49585 1
77222 37511 2
77222 55966 1
77222 23890 1
77222 98883 1
77222 83292 2
77222 73780 3
77222 90001 2
77222 50424 1
77222 62726 2
77222 7613 1
77222 43865 1
77222 34353 3
77222 37933 3
77222 61736 3
77222 92617 3
77222 67187 3
77222 90249 2
77222 99137 3
77222 73876 3
77222 8842 2
77222 61384 1
77222 50678 1
77222 80686 2
77222 21802 1
77222 40596 2
77222 84578 1
77222 38354 2
77222 40898 3
77222 40119 3
77222 4226 2
77222 81639 2
77222 47068 2
77222 8606 2
77222 91067 1
77222 74269 1
77222 39732 3
77222 38378 2
77222 75186 3
77222 72685 1
77222 25026 3
77222 71567 2
77222 68269 1
77222 96106 1
77222 87198 2
77222 72075 1
77222 66332 1
77222 5406 3
77222 23051 1
77222 16489 3
77222 25004 3
77222 86331 3
77222 83350 3
77222 14488 1
77222 85033 2
77222 92696 1
77222 24542 2
77222 16055 1
77222 31415 3
77222 86553 3
77222 49276 1
77222 56232 2
77222 18727 1
77222 52191 2
77222 91340 2
77222 56141 2
77222 79899 1
77222 37836 2
77222 89206 2
77222 43439 1
77222 72231 2
77222 3748 3
77222 36977 1
77222 79384 2
77222 95779 2
77222 38005 1
77222 19115 1
77222 37099 3
77222 26310 1
77222 68405 1
77222 47423 3
77222 48995 3
77222 40983 1
77222 3900 3
77222 39169 2
77222 27668 2
77222 92509 1
77222 45039 1
77222 9019 1
77222 21506 2
77222 68874 1
77222 92519 3
77222 25592 3
77222 17123 3
77222 82263 1
77222 19291 1
77222 33586 2
77222 89087 1
77222 71430 1
77222 78415 2
77222 53978 2
77222 47303 3
77222 79301 2
77222 85703 3
77222 947 1
77222 36636 3
77222 179 1
77222 33305 2
77222 59373 3
77222 55946 2
77222 53972 3
77222 86387 1
77222 27605 3
77222 68750 2
77222 3394 2
77222 4824 1
77222 58707 1
77222 19597 3
77222 85465 1
77222 32614 2
77222 41716 3
77222 91614 1
77222 65248 1
77222 89100 1
77222 97927 3
77222 35592 3
77222 57751 3
77222 64278 2
77222 37991 2
77222 57473 2
77222 88512 1
77222 45719 1
77222 46262 1
77222 27971 2
77222 1792 2
77222 94254 1
77222 78233 1
77222 77748 2
77222 30939 3
77222 88136 2
77222 43055 2
77222 40987 3
77222 79571 3
77222 52140 3
77222 6475 3
77222 47032 1
77222 38281 2
77222 68835 1
77222 83254 2
77222 37721 3
77222 66410 2
77222 84622 3
77222 89803 3
77222 54511 1
77222 60899 2
77222 91087 3
77222 71371 3
77222 54985 1
77222 73873 1
77222 98858 3
77222 55182 2
77222 82901 1
77222 72643 3
77222 96758 1
77222 77908 3
77222 86850 1
77222 7175 2
77222 95995 3
77222 79021 3
77222 3794 1
77222 51756 3
77222 58181 2
77222 83410 1
77222 34168 2
77222 75373 1
77222 3616 1
77222 66772 2
77222 97759 3
77222 54359 1
77222 97619 1
77222 76539 1
77222 44205 3
77222 46729 3
77222 82564 3
77222 10832 3
77222 32756 1
77222 57436 1
77222 37000 3
77222 58640 3
77222 59361 2
77222 19542 3
77222 67749 3
77222 24780 3
77222 95252 2
77222 13290 1
77222 19807 3
77222 51646 3
77222 71062 1
77222 84325 2
77222 17092 3
77222 13476 3
77222 92254 3
77222 3168 1
77222 36454 1
77222 74888 1
77222 77544 2
77222 6092 1
77222 87015 1
77222 64637 2
77222 15625 1
77222 14037 1
77222 76302 3
77222 6514 3
77222 66500 1
77222 58702 3
77222 68755 1
77222 32913 2
77222 12325 2
77222 19208 1
77222 16689 3
77222 16054 2
77222 48272 1
77222 61336 1
77222 98248 3
77222 78409 2
77222 61401 3
77222 66527 1
77222 80743 2
77222 42431 3
77222 39882 1
77222 60770 1
77222 35646 3
77222 54504 1
77222 32980 1
77222 37264 3
77222 9590 2
77222 79562 2
77222 99096 2
77222 19708 1
77222 33598 1
77222 35034 2
77222 92440 1
77222 60520 3
77222 84004 3
77222 84747 3
77222 45217 1
77222 93950 3
77222 50309 1
77222 78541 2
77222 71044 2
77222 59903 1
77222 98758 2
