1000 10
736 393 1
736 155 1
736 533 1
736 89 1
736 771 1
736 240 1
393 398 10
393 351 10
393 295 10
393 867 10
393 183 10
393 260 10
398 407 6
398 811 6
398 203 6
398 187 6
398 140 6
398 802 6
398 243 6
398 745 6
398 338 6
407 987 4
407 827 4
407 807 4
407 363 4
407 453 4
407 204 4
351 847 6
351 318 6
351 940 6
351 890 6
155 928 10
155 863 10
155 569 10
155 493 10
155 911 10
155 341 10
155 312 10
811 698 4
811 945 4
811 577 4
811 853 4
811 857 4
811 235 4
811 347 4
811 850 4
698 752 8
698 772 8
698 298 8
928 661 6
928 915 6
928 513 6
928 219 6
928 725 6
928 989 6
928 481 6
928 88 6
533 877 10
533 865 10
533 765 10
533 487 10
533 760 10
533 564 10
533 613 10
533 686 10
533 737 10
533 254 10
863 241 6
863 175 6
863 91 6
752 566 5
752 672 5
752 250 5
661 900 7
661 842 4
661 61 4
661 40 4
661 954 4
877 143 6
877 883 6
877 621 6
945 667 8
945 861 8
987 472 8
987 709 8
203 776 4
203 361 4
203 758 4
203 560 4
203 834 4
203 223 4
187 983 4
187 332 4
187 972 4
187 660 4
187 54 4
187 228 4
865 285 6
865 743 6
865 950 6
865 876 6
865 328 6
865 806 6
827 974 8
827 840 8
827 307 8
827 405 8
143 500 4
143 445 4
143 727 4
143 535 4
143 14 4
915 518 4
915 955 4
915 350 4
915 194 4
776 6 8
776 649 8
776 825 8
772 434 5
772 36 5
772 904 5
772 180 5
772 374 5
772 468 5
772 357 5
241 635 4
241 902 4
241 267 4
241 45 4
241 262 4
241 933 4
241 936 4
241 824 4
577 991 8
577 751 8
667 457 5
667 601 5
667 539 5
89 562 10
89 874 10
562 216 6
562 878 6
562 39 6
847 615 4
847 304 4
457 213 9
457 739 9
457 610 9
457 981 9
298 665 5
298 733 5
298 750 5
902 985 8
902 376 8
902 887 8
569 599 6
569 117 6
569 432 6
569 903 6
569 979 6
500 496 8
500 339 8
267 146 8
267 317 8
175 571 4
175 512 4
175 967 4
285 227 4
285 995 4
285 11 4
974 541 5
974 466 5
974 748 5
974 906 5
974 652 5
361 540 8
361 935 8
361 718 8
900 693 2
900 674 2
601 389 9
318 820 4
318 414 4
615 688 8
615 726 8
615 690 8
615 692 8
665 106 9
665 205 9
665 961 9
665 442 9
983 687 8
983 889 8
983 632 8
983 554 8
733 55 9
733 963 9
733 460 9
733 465 9
733 653 9
991 430 5
991 446 5
991 73 5
765 113 6
765 697 6
332 18 8
332 896 8
332 574 8
332 630 8
332 793 8
487 691 6
487 444 6
487 373 6
487 167 6
487 375 6
487 392 6
985 855 5
985 491 5
6 682 5
6 427 5
6 823 5
6 932 5
566 251 9
566 552 9
566 602 9
566 348 9
213 31 7
213 658 7
213 741 7
840 396 5
840 81 5
840 711 5
840 177 5
840 583 5
216 634 4
760 657 6
760 528 6
758 7 8
758 664 8
758 838 8
758 740 8
445 459 8
445 178 8
445 957 8
445 436 8
874 237 6
874 681 6
874 336 6
513 215 4
215 290 8
215 626 8
215 120 8
215 410 8
18 119 5
18 188 5
18 388 5
855 918 9
855 669 9
855 229 9
434 589 9
727 746 8
727 360 8
727 258 8
727 390 8
739 568 7
739 716 7
376 558 5
376 163 5
290 451 5
290 137 5
290 888 5
290 705 5
290 115 5
290 990 5
802 416 4
802 695 4
802 830 4
802 809 4
672 794 9
672 456 9
672 505 9
687 286 5
687 326 5
842 381 8
842 87 8
842 212 8
599 761 4
599 134 4
599 803 4
599 596 4
146 266 5
146 585 5
146 435 5
746 986 5
746 354 5
746 836 5
558 164 9
558 397 9
558 433 9
558 937 9
560 53 8
560 418 8
